category,id,component,canonical_source,reference_art,design,required_variants,art_status,runtime_status,production_outstanding,scope
screen,network_wait,Commitment sent / waiting reveal,game/Main*.cs,ui/interface-atlas.png;ui/hud-atlas.png;ui/system-designs.png,Closed ledger seal with waiting text; no opponent draft exposure,commitment sent;waiting reveal;diagnostics,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,network_failed,Connection ended,game/Main*.cs,ui/interface-atlas.png;ui/system-designs.png,"Broken-link glyph, reason, reconnect and back",aborted;disconnected;desync;no incomplete-round payout,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
screen,pad_text,Controller text editor,game/Main*.cs,ui/interface-atlas.png;ui/typography.png;ui/system-designs.png,Grid keys and high-contrast caret; large backspace/clear/done targets,numeric/IP;match phrase;focus;pressed;empty;max length,assigned_design_reference,not_integrated,Extract reusable panels; rebuild text with verified font/glyphs; adapt full layout at 640x360; verify every focus path,current_contract
hud,portrait,Corner portrait,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png;fighters/rook/identity.png;fighters/vale/identity.png,Crop identity bust; separate corner frame,P1/P2;Rook/Vale;mirror,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,fighter_name,Fighter label,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Cream uppercase beside permanent corner shape,Rook;Vale;P1/P2,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,health_frame,Health bar frame,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Thin angular frame; inward-facing fills,P1/P2,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,health_fill,Health fill and empty track,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,"Single health resource, readable by occupied length",full;partial;empty;P1/P2,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,stun,Nonspendable stun indication,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,STUN text and numeric value; optional separated diagnostic ticks,0;partial;dizzy threshold,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,score,Round points,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Round points as numerals or paired half-point pips,0;half points;5 target;draw,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,timer,Round timer,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Cream tabular numerals in central housing,00-99;paused;time out,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,round,Round number,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Small amber round caption under timer,1-9,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,wallet,Credit balance,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Large tabular number and CR suffix,0-3600;P1/P2,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,ex_affordability,EX availability,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,300 CR with filled diamond / open diamond / lock notch plus text,ready;low funds;reserve protected,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,super_affordability,Selected super,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Named art and cost with discrete shape state,art1/2/3;900/1200/1500;ready;low;reserve,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,reserve,Reserve floor,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Small lock/floor mark with numeric amount beside wallet,0;set;blocking activation,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,lease_slots,Equipped round leases,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png;ui/lease-icons.png,Three distinct slot shapes with 12 original icons,signature;technique;gambit;empty;base kit,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,spend_receipt,Reason-tagged debit,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Compact receipt near cash; minus numeral; never contact center,EX;SUPER;MOVE;P1/P2,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,rejection,Credit rejection,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Outline lock/rejected stamp with reason text; subtle rate-limited cue,insufficient credits;reserve protected,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,settlement,Confirmed round payout,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Receipt addition only after confirmed round settlement,win;loss recovery tiers;draw;cap,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,preparation_budget,Preparation balance preview,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Exact numeric arithmetic and assumption caption,plan cost;after lock;win/loss projection,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,floor_markers,Player floor markers,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Shape-coded feet location separate from fighter palette,P1 triangle;P2 notched chevron,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,match_footer,Match rule and pause hint,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Narrow quiet footer,first to5;max9;keyboard;controller,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,network_diagnostic,Private match status,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Link glyph and plain diagnostic values,connected;delay frames;rollback count;stall,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,toast,Toast / validation / save notice,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Bounded panel below HUD without hiding contact,info;success;rejected;disconnect,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,training_footer,Training controls/status strip,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Clearly marked LAB with live input summary,live;paused;dummy;drill,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,input_history,Input history,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Direction glyph plus button token; retain timestamps,P1/P2;1-9;button/chord;press/release,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,lab_diagnostics,Frame and training diagnostics,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Compact table with tabular font; no ornamental numerals,startup/active/recovery;hitstun;blockstun;charge;combo;damage;advantage;parry;parsed/denied,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,drill_feedback,Drill status,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Distinct check/loop/clock shapes with text,in progress;complete;timeout/reset,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,replay_transport,Replay status strip,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Tape corner marker and exact tick numerals,verified playback;paused;tick;speed;end,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,wallet_graph,Replay wallet graph,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Recorded balance chart with labels and differing line markers,P1/P2;0-3600;ticks,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
hud,replay_receipts,Replay spend receipts,game/Main.cs;game/Main.PrepDetails.cs;game/Main.LabDiagnostics.cs;game/Main.ReplayDetails.cs;docs/11_UI_CONTROLS_AND_ACCESSIBILITY.md,ui/hud-atlas.png;ui/typography.png,Transaction table using same receipt style,preparation;EX;super;settlement;rejected,assigned_design_reference,not_integrated,Isolate tile/frame; author numeric layout and every state; preserve canonical values and safe areas,current_contract
round_feedback,loadouts_locked,LOADOUTS LOCKED,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,current_contract
round_feedback,get_ready,GET READY,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,current_contract
round_feedback,fight,FIGHT,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,presentation_extension
round_feedback,k_o,K.O.,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,current_contract
round_feedback,time_out,TIME OUT,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,presentation_extension
round_feedback,draw,DRAW,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,presentation_extension
round_feedback,double_k_o,DOUBLE K.O.,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,presentation_extension
round_feedback,confirming_result,CONFIRMING RESULT,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,current_contract
round_feedback,round_settled,ROUND SETTLED,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,current_contract
round_feedback,match_complete,MATCH COMPLETE,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,current_contract
round_feedback,p1_wins,P1 WINS,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,presentation_extension
round_feedback,p2_wins,P2 WINS,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,presentation_extension
round_feedback,perfect,PERFECT,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,presentation_extension
round_feedback,replay_verified,REPLAY VERIFIED,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,presentation_extension
round_feedback,drill_complete,DRILL COMPLETE,game/Main.cs;src/StrikeLedger.Core/SimulationState.cs,ui/branding-announcements.png;ui/hud-atlas.png;ui/typography.png,"Condensed cream/amber lettering, offset ink shadow, bounded corner-rule frame",entry;hold;exit;reduced motion,assigned_design_reference,not_integrated,Typeset exact string and animate entry/hold/exit; bind only to real terminal reason; PERFECT is optional cosmetic derivation,presentation_extension
ui_component,button,Button,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",normal;hover;pressed;focused;disabled,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,current_contract
ui_component,panel,Panel,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",opaque;translucent;modal;two-corner,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,current_contract
ui_component,focus_cursor,Focus Cursor,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",P1 triangle;P2 chevron;keyboard;pad,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,current_contract
ui_component,selection,Selection,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",selected;unselected;locked,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,current_contract
ui_component,slider,Slider,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",track;fill;thumb;focus;min/max,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,current_contract
ui_component,toggle,Toggle,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",on;off;focus;unavailable,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,current_contract
ui_component,text_field,Text Field,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",empty;filled;focused;caret;invalid,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,current_contract
ui_component,tab,Tab,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",active;inactive;disabled,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,presentation_extension
ui_component,pagination,Pagination,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",previous;next;current page/total,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,current_contract
ui_component,list_row,List Row,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",normal;focused;disabled;empty,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,current_contract
ui_component,tooltip,Tooltip,game/Main.Menus.cs;game/Main*.cs,ui/interface-atlas.png,"Hard pixel corners, ink/cream hierarchy, amber focus; shape and text supplement hue",move property;lease tradeoff;price,assigned_design_reference,not_integrated,Extract/export exact-size tiles; define slice insets and state mapping; app icon/pointer may need new small-size redraws,presentation_extension
