fighter,move_id,name,kind,command,family,strength,source_pose,availability,activation_credit_cost,lease_item,lease_price,replaces,startup,active,recovery,startup_interval,active_interval,recovery_interval,total_action_ticks,super_freeze,hit_intervals,projectile_spawn_tick,reference_art,reuse_policy,production_status,production_outstanding
rook,close_mp,Close MP,normal,CLOSE+MP,close_mp,mp,close_mp,base,0,,,,4,3,10,"[0,4)","[4,7)","[7,17)",17,0,"h0:[4,7)/group0/mid",,fighters/rook/normals.png;fighters/rook/supplemental.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,close_hp,Close HP,normal,CLOSE+HP,close_hp,hp,close_hp,base,0,,,,6,3,10,"[0,6)","[6,9)","[9,19)",19,0,"h0:[6,9)/group0/mid",,fighters/rook/normals.png;fighters/rook/supplemental.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,command_fhp,Forward hammer,unique,6+HP,command_fhp,unique,command_fhp,base,0,,,,10,3,17,"[0,10)","[10,13)","[13,30)",30,0,"h0:[10,13)/group0/mid",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,leap_overhead,Leap strike,unique,MP+MK,leap_overhead,unique,leap_overhead,base,0,,,,17,3,19,"[0,17)","[17,20)","[20,39)",39,0,"h0:[17,20)/group0/overhead",,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,throw_forward,Forward throw,throw,LP+LK,throw_forward,unique,throw_forward,base,0,,,,3,2,24,"[0,3)","[3,5)","[5,29)",29,0,,,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Paired thrower/victim grabs, rotation and release must match canonical throw timeline; both fighter pairings and facings required.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,throw_back,Back throw,throw,4+LP+LK,throw_back,unique,throw_back,base,0,,,,3,2,24,"[0,3)","[3,5)","[5,29)",29,0,,,fighters/rook/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Paired thrower/victim grabs, rotation and release must match canonical throw timeline; both fighter pairings and facings required.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,pulse_l,Pulse shot L,special,qcf+LP,pulse,l,pulse_l,base,0,,,,10,1,19,"[0,10)","[10,11)","[11,30)",30,0,,10,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants. Caster recovery and projectile lifetime are separate; release at exact spawn_tick; no repeated spawn on loop.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,pulse_m,Pulse shot M,special,qcf+MP,pulse,m,pulse_m,base,0,,,,13,1,23,"[0,13)","[13,14)","[14,37)",37,0,,13,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants. Caster recovery and projectile lifetime are separate; release at exact spawn_tick; no repeated spawn on loop.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,pulse_h,Pulse shot H,special,qcf+HP,pulse,h,pulse_h,base,0,,,,16,1,28,"[0,16)","[16,17)","[17,45)",45,0,,16,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants. Caster recovery and projectile lifetime are separate; release at exact spawn_tick; no repeated spawn on loop.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,pulse_ex,Pulse shot EX,ex_special,qcf+PP,pulse,ex,pulse_ex,base,300,,,,8,1,24,"[0,8)","[8,9)","[9,33)",33,0,,8,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants. Caster recovery and projectile lifetime are separate; release at exact spawn_tick; no repeated spawn on loop.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,rise_l,Rising elbow L,special,dp+LP,rise,l,rise_l,base,0,,,,4,5,19,"[0,4)","[4,9)","[9,28)",28,0,"h0:[4,9)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,rise_m,Rising elbow M,special,dp+MP,rise,m,rise_m,base,0,,,,6,5,23,"[0,6)","[6,11)","[11,34)",34,0,"h0:[6,11)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,rise_h,Rising elbow H,special,dp+HP,rise,h,rise_h,base,0,,,,8,5,28,"[0,8)","[8,13)","[13,41)",41,0,"h0:[8,13)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,rise_ex,Rising elbow EX,ex_special,dp+PP,rise,ex,rise_ex,base,300,,,,3,5,24,"[0,3)","[3,8)","[8,32)",32,0,"h0:[3,8)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,knee_l,Traveling knee L,special,qcf+LK,knee,l,knee_l,base,0,,,,10,5,19,"[0,10)","[10,15)","[15,34)",34,0,"h0:[10,15)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,knee_m,Traveling knee M,special,qcf+MK,knee,m,knee_m,base,0,,,,13,5,23,"[0,13)","[13,18)","[18,41)",41,0,"h0:[13,18)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,knee_h,Traveling knee H,special,qcf+HK,knee,h,knee_h,base,0,,,,16,5,28,"[0,16)","[16,21)","[21,49)",49,0,"h0:[16,21)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,knee_ex,Traveling knee EX,ex_special,qcf+KK,knee,ex,knee_ex,base,300,,,,8,5,24,"[0,8)","[8,13)","[13,37)",37,0,"h0:[8,13)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,sway_l,Retreat palm L,special,qcb+LK,sway,l,sway_l,base,0,,,,10,5,19,"[0,10)","[10,15)","[15,34)",34,0,"h0:[10,15)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,sway_m,Retreat palm M,special,qcb+MK,sway,m,sway_m,base,0,,,,13,5,23,"[0,13)","[13,18)","[18,41)",41,0,"h0:[13,18)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,sway_h,Retreat palm H,special,qcb+HK,sway,h,sway_h,base,0,,,,16,5,28,"[0,16)","[16,21)","[21,49)",49,0,"h0:[16,21)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,sway_ex,Retreat palm EX,ex_special,qcb+KK,sway,ex,sway_ex,base,300,,,,8,5,24,"[0,8)","[8,13)","[13,37)",37,0,"h0:[8,13)/group0/mid",,fighters/rook/techniques.png,"Family silhouette reference shared by L/M/H/EX; each variant needs its own cel-to-tick timeline, active pose/extension and follow-through. L compact, M expanded, H committed; EX has distinct twin-notch accent and authored multihit poses. Do not copy one complete clip for all variants.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,super_1,Circuit Break,super,double_qcf+P,super_1,unique,super_1,base,900,,,,5,20,35,"[0,5)","[5,25)","[25,60)",60,20,"h0:[5,7)/group0/mid;h1:[9,11)/group1/mid;h2:[13,15)/group2/mid;h3:[17,19)/group3/mid;h4:[21,23)/group4/mid",,fighters/rook/techniques.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Distinct named-super extreme; hold on simulation superfreeze; every authored hit group gets readable contact.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,super_2,Forge Impact,super,double_qcf+P,super_2,unique,super_2,base,1200,,,,6,8,35,"[0,6)","[6,14)","[14,49)",49,20,"h0:[6,8)/group0/mid;h1:[10,12)/group1/mid",,fighters/rook/techniques.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Distinct named-super extreme; hold on simulation superfreeze; every authored hit group gets readable contact.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,super_3,Rush Cascade,super,double_qcf+P,super_3,unique,super_3,base,1500,,,,7,12,35,"[0,7)","[7,19)","[19,54)",54,20,"h0:[7,9)/group0/mid;h1:[11,13)/group1/mid;h2:[15,17)/group2/mid",,fighters/rook/techniques.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Distinct named-super extreme; hold on simulation superfreeze; every authored hit group gets readable contact.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,shop_clinch,Clinch entry,special,qcb+P,shop_clinch,unique,shop_clinch,rook_clinch,0,rook_clinch,900,,12,3,23,"[0,12)","[12,15)","[15,38)",38,0,,,fighters/rook/techniques.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Paired thrower/victim grabs, rotation and release must match canonical throw timeline; both fighter pairings and facings required. Lease pose must remain distinct from base command; gambits are committed feints without false invulnerability or hit effects.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,shop_low_drive,Low drive,special,qcb+P,shop_low_drive,unique,shop_low_drive,rook_low_drive,0,rook_low_drive,900,,14,3,24,"[0,14)","[14,17)","[17,41)",41,0,"h0:[14,17)/group0/low",,fighters/rook/techniques.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Lease pose must remain distinct from base command; gambits are committed feints without false invulnerability or hit effects.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,shop_high_hook,High hook,unique,6+HP,shop_high_hook,unique,shop_high_hook,rook_high_hook,0,rook_high_hook,600,command_fhp,18,3,19,"[0,18)","[18,21)","[21,40)",40,0,"h0:[18,21)/group0/overhead",,fighters/rook/techniques.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Lease pose must remain distinct from base command; gambits are committed feints without false invulnerability or hit effects.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,shop_low_turn,Low turn,unique,6+HP,shop_low_turn,unique,shop_low_turn,rook_low_turn,0,rook_low_turn,600,command_fhp,14,3,24,"[0,14)","[14,17)","[17,41)",41,0,"h0:[14,17)/group0/low",,fighters/rook/techniques.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Lease pose must remain distinct from base command; gambits are committed feints without false invulnerability or hit effects.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,shop_step_feint,Step feint,gambit,4+HP+HK,shop_step_feint,unique,shop_step_feint,rook_step_feint,0,rook_step_feint,300,,0,1,15,"[0,0)","[0,1)","[1,16)",16,0,,,fighters/rook/techniques.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Lease pose must remain distinct from base command; gambits are committed feints without false invulnerability or hit effects.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
rook,shop_sway_feint,Sway feint,gambit,4+HP+HK,shop_sway_feint,unique,shop_sway_feint,rook_sway_feint,0,rook_sway_feint,300,,0,1,15,"[0,0)","[0,1)","[1,16)",16,0,,,fighters/rook/techniques.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels. Lease pose must remain distinct from base command; gambits are committed feints without false invulnerability or hit effects.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
vale,s_lp,S LP,normal,S+LP,s_lp,lp,s_lp,base,0,,,,3,2,7,"[0,3)","[3,5)","[5,12)",12,0,"h0:[3,5)/group0/mid",,fighters/vale/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
vale,s_mp,S MP,normal,S+MP,s_mp,mp,s_mp,base,0,,,,5,3,12,"[0,5)","[5,8)","[8,20)",20,0,"h0:[5,8)/group0/mid",,fighters/vale/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
vale,s_hp,S HP,normal,S+HP,s_hp,hp,s_hp,base,0,,,,8,4,19,"[0,8)","[8,12)","[12,31)",31,0,"h0:[8,12)/group0/mid",,fighters/vale/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
vale,s_lk,S LK,normal,S+LK,s_lk,lk,s_lk,base,0,,,,3,2,7,"[0,3)","[3,5)","[5,12)",12,0,"h0:[3,5)/group0/mid",,fighters/vale/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
vale,s_mk,S MK,normal,S+MK,s_mk,mk,s_mk,base,0,,,,5,3,12,"[0,5)","[5,8)","[8,20)",20,0,"h0:[5,8)/group0/mid",,fighters/vale/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
vale,s_hk,S HK,normal,S+HK,s_hk,hk,s_hk,base,0,,,,8,4,19,"[0,8)","[8,12)","[12,31)",31,0,"h0:[8,12)/group0/mid",,fighters/vale/normals.png,"One canonical move, dedicated action silhouette; transitions may share compatible stance cels.",key_pose_reference_assigned_full_animation_pending,Draw startup/active/recovery and transitions; normalize pixel scale; transparent extraction; frame rectangles/pivots; timing manifest; mirror palette; in-game verification
